host,timestamp,container_cpu_pct,container_mem_used_mb,container_mem_limit_mb,container_net_rx_mb,container_net_tx_mb,host_cpu_used_pct,host_mem_used_mb,host_mem_total_mb,host_load1,pg_active_connections
web-server,2026-09-25T19:37:20Z,0.00,45.31MiB,1.93GiB,1.23GB,1.33GB,1,627,1976,1.42,1
web-server,2026-09-25T19:37:28Z,0.00,45.31MiB,1.93GiB,1.23GB,1.33GB,1,644,1976,1.28,1
web-server,2026-09-25T19:37:37Z,0.00,45.31MiB,1.93GiB,1.23GB,1.33GB,1,659,1976,1.17,1
web-server,2026-09-25T19:37:45Z,0.00,45.3MiB,1.93GiB,1.23GB,1.33GB,2,644,1976,1.22,1
web-server,2026-09-25T19:37:53Z,0.05,45.29MiB,1.93GiB,1.23GB,1.33GB,0,635,1976,1.03,1
web-server,2026-09-25T19:38:02Z,0.00,45.29MiB,1.93GiB,1.23GB,1.33GB,1,625,1976,0.87,1
web-server,2026-09-25T19:38:10Z,0.07,45.29MiB,1.93GiB,1.23GB,1.33GB,1,639,1976,0.80,1
web-server,2026-09-25T19:38:19Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,1,652,1976,0.68,1
web-server,2026-09-25T19:38:27Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,2,657,1976,0.57,1
web-server,2026-09-25T19:38:36Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,1,658,1976,0.53,1
web-server,2026-09-25T19:38:44Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,1,637,1976,0.45,1
web-server,2026-09-25T19:38:52Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,1,666,1976,0.38,1
web-server,2026-09-25T19:39:01Z,0.00,45.27MiB,1.93GiB,1.23GB,1.33GB,2,643,1976,0.35,1
